1038;Джемпер женский;158-164- 96-102;;;<>;заказы;НЕТ;1;14,5;17,4
1038;Джемпер женский;158-164-100-106;;;<>;заказы;НЕТ;1;14,5;17,4
1040.;Платье женское;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;49;58,8
1041.;Платье женское;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;52;62,4
1244-19;Джемпер женский;158-164- 84- 90;;П/Ш бел.;<>;заказы;НЕТ;2;14;16,8
1441;Свитер женский;170- 92- 98;;П/Ш бел.;<>;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;2;35;42
1564;Джемпер женский;170-176- 88- 94;;Х/Б;<>;заказы;НЕТ;1;27,5;33
1564;Джемпер женский;170-176- 92- 98;;Х/Б;<>;заказы;НЕТ;1;27,5;33
1858;Свитер женский;158-164- 92- 98;;Х/Б;<>;заказы;НЕТ;2;15;18
18с494;Жилет для девочек;134- 64;;;Хлопок 50%  ПАН 50%;заказы;НЕТ;1;5;5,5
1904-18;Джемпер женский;158-164- 84- 90;;;<>;заказы;НЕТ;1;16,5;19,8
1917-19;Джемпер женский;158-164- 88- 94;;П/Ш бел.;<>;заказы;НЕТ;1;13,5;16,2
1-9533;Шарф-снуд ;37- 34;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;НЕТ;5;12;14,4
1-9533;Шарф-снуд ;84;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;НЕТ;2;12;14,4
1-9534;Шарф-снуд женский ;84;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;НЕТ;1;11;13,2
1-9761;Приклад ;15-226;;П/Ш бел.;<>;заказы;НЕТ;3;12;14,4
1-9761;Приклад ;88- 96;;П/Ш бел.;<>;заказы;НЕТ;1;12;14,4
2293;Жилет женский;158-164- 84- 90;;;<>;заказы;НЕТ;1;25;30
2296;Жилет женский;158-164- 84- 90;;;<>;заказы;НЕТ;1;26,5;31,8
2307-19;Жакет женский;158-164- 84- 90;;П/Ш бел.;<>;заказы;НЕТ;2;15,5;18,6
2483-20;Жакет женский;158-164-120-126;;ПАН;<>;заказы;НЕТ;2;12,5;15
310243.05303.9600N;Джемпер женский;170- 48;темно-синий;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;33,5;40,2
3366.1.1F;Джемпер женский;158-164- 84- 90;;;<>;заказы;НЕТ;2;4,4;5,28
3499;Джемпер женский;170- 44;розово-коричневый, белый;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;2;49;58,8
3544-19;Джемпер женский;158-164- 92- 98;;ПАН;<>;заказы;НЕТ;1;16;19,2
370158.05303.8200N;Жакет женский;170- 48;черный;Вискоза;Вискоза 50%, ПАН 50%;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;42;50,4
390009.05303.0600N;Комплект женский;170- 44;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;1;62;74,4
390010.05303.8400N;Комплект женский;170- 44;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;2;65,5;78,6
5024;Джемпер женский;170- 46;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 433TC класс 5;1;39;46,8
5-10082;Джемпер женский;170-176- 46;;;ПАН 88%, Шерсть 12%;заказы;НЕТ;6;0;0
5-10133;Джемпер женский;170- 44;глициния;;Шерсть 28%, ПАН 65%, Метанит 7%;заказы;Universal MC-848 класс 5;7;22,5;22,5
5-10133;Джемпер женский;170- 48;молочная олива;;Шерсть 28%, ПАН 65%, Метанит 7%;заказы;Universal MC-848 класс 5;1;22,5;22,5
5-10135;Джемпер женский;170- 46;светло-бежевый;П/Ш бел.;Шерсть 30% ПАН 70%, отделка ткань: ПЭ 100%;заказы;НЕТ;1;30;30
5-10135;Джемпер женский;170- 46;;П/Ш бел.;Шерсть 30% ПАН 70%, отделка ткань: ПЭ 100%;заказы;НЕТ;1;30;30
5-10160М;Джемпер женский;170- 44;;Х/Б;Хлопок 48%, ПАН 47%, Метанит 5%;заказы;НЕТ;2;25,5;25,5
5-10180;Джемпер женский;170- 44;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;НЕТ;1;35,5;35,5
5-10180;Джемпер женский;170- 56;т.бордо;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;НЕТ;1;35,5;35,5
